,Date,AUSTRALIA,AUSTRIA,BELGIUM,CANADA,DENMARK,FINLAND,FRANCE,GERMANY,ITALY,JAPAN,NETHERLANDS,NEW ZEALAND,NORWAY,PORTUGAL,SPAIN,SWEDEN,SWITZERLAND,UNITED KINGDOM,UNITED STATES,CHILE,SRI LANKA,URUGUAY,BRAZIL,GREECE,PERU,VENEZUELA,COLOMBIA,ECUADOR,INDIA,MEXICO
149,1900-01-01,7.908426959903715,8.441824689652467,8.908945317083942,8.23833942201883,7.606768663639647,5.426191251220623,8.06681162529776,8.701653639190868,6.024410417350738,6.087930751571265,7.954480294221252,8.015095170341766,7.530878787904859,6.123979798635965,6.404865514329077,7.492050850698009,7.450816261033623,9.2308649866061,9.069087050739244,5.661259887337426,,,,4.433763452214075,4.20988743626807,,,,3.8267180993724104,4.298261318065427
150,1901-01-01,8.011918579316973,8.456084191744408,8.835433904432914,8.36888913911275,7.634417204215061,5.063351772252561,8.03217215858826,8.682895942559526,5.990019308076318,6.256775863803465,7.9169540460973975,8.110361616136332,7.455074294476495,6.084353452614304,6.450802849410996,7.411118137090858,7.347988535791908,9.199831538543036,9.134670060093258,6.261886798673549,,,4.740087497947875,4.4267346051216165,4.1670512772077775,,,,3.918823241525298,4.558504481113351
151,1902-01-01,7.993678745962776,8.34520016728948,8.865490232545856,8.421383771968289,7.649608020528532,5.002668673217287,7.969842648879571,8.647151141711586,6.086397220363168,6.312914398063265,7.900224884203857,8.190402374266013,7.531843494819215,6.167999844110114,6.487932940085514,7.451331022549714,7.3450456252750795,9.229395126493788,9.172420366600763,6.473408103940095,,,4.8944328423293175,4.194415876207899,3.275857799727509,,,,4.010428830693153,4.630776664184599
152,1903-01-01,7.966247079526529,8.33044879885233,8.926372758671402,8.479251277659609,7.678045144355063,5.245544781949897,8.062701574951072,8.7056468572017,6.098337885812283,6.333274319793453,7.951883687422785,8.204819698222664,7.525281542765314,6.12098773713732,6.467830449339501,7.540872454572033,7.412115942503328,9.22881450108971,9.310949459573546,6.559448856600779,,,4.846795490174285,4.36797284482456,4.027978724311776,,,,4.022611364687277,4.7084848536551105
153,1904-01-01,7.98214662324604,8.37263816364631,8.86946499823693,8.617254737344561,7.743298168397168,5.263055752791245,8.034709719106557,8.72675586136619,6.145644402864015,6.440830883499344,7.9921786530286925,8.255225869433248,7.502157895297731,6.13535186495967,6.525882274150632,7.586644261727785,7.449136199510123,9.224870503093424,9.276130320381117,6.453969872106953,,,4.896790350910591,4.244452247872952,4.2856770723543285,0.3098326954754412,,,4.127630969522768,4.796171471285654
154,1905-01-01,8.010114783812286,8.405297167852455,8.855308139769669,8.655865426058718,7.704876775015824,5.3585926493359155,8.045228636654652,8.783356200249068,6.234560807339535,6.460973001296617,8.00365224093738,8.257006879928158,7.494300617479959,6.1038107179230945,6.565127891952393,7.563872251882834,7.49796300509867,9.229285627530913,9.368140806029071,6.496785090328779,,,4.9420594159505935,3.9934433306878283,4.506599096737414,,,,4.143736020853649,4.778904067765149
155,1906-01-01,8.171290224130628,8.571654294519696,8.978175887627753,8.692220567234436,7.778784833204985,5.398013375594171,8.11324194099928,8.714387636167867,6.393573982604391,6.545714577100445,8.073597775446803,8.315234328120756,7.508360351084853,6.2346648436280345,6.576712745710923,7.662174893175338,7.569703664370575,9.255678602782755,9.39745559255998,6.646301255856977,,,5.056740220277864,3.918407682366667,4.691891103920078,,,,4.281973885574196,4.885407436908681
156,1907-01-01,8.230360963704841,8.78946745747456,8.981513386521893,8.872062154430807,7.651469508295119,5.751220183226016,8.17725548063752,8.90028463483681,6.463525526094303,6.601228637270609,8.0882509620065,8.34747424007478,7.627893217943779,6.313200829591283,6.586575721777028,7.777479998270332,7.705784905893041,9.290675518695233,9.530354824270908,6.5222876046305505,,,5.109545714092926,4.410967968121669,5.301582612155927,,,,4.385535963203203,5.039648840053844
157,1908-01-01,8.29292862839579,9.115648842711089,8.963413942902704,8.84854262261361,7.854869018302304,6.198845227608943,8.182364682313917,8.896395455904887,6.474717048306571,6.659850498058107,8.093399434501778,8.336006171514734,7.799103239101488,6.298882503720688,6.627371502675444,7.834788107388194,7.694840084792336,9.257057804892106,9.376792608142404,6.631335889807704,,,5.1290984407864855,4.935212832368999,5.706733824934232,0.28378095614117155,,,4.514156984570425,5.538659965295894
158,1909-01-01,8.132913303594037,8.77079345641052,8.952956084513428,8.778867054921658,7.943181929040585,6.09294119363313,8.20362013603293,8.880184824390618,6.56576171123865,6.663726282757996,8.131681822071522,8.335274990763256,7.79849046161562,6.306460441552638,6.645899323009989,7.742940252862935,7.690597782323953,9.25700632250237,9.458480574904609,6.576118770383098,,,5.112217881589619,4.665317692299445,5.913075510126749,,,,4.473398537188729,5.50724715662096
159,1910-01-01,8.291260210400722,9.071473869216346,9.009517030087478,8.880110550221152,7.844787360033739,5.894593744224112,8.20426265329422,8.866179563502925,6.557179104101961,6.67960565522365,8.166461951620734,8.454288244360589,7.821392661621761,6.314982068659577,6.620935962459697,7.768101070529739,7.643623629406301,9.25594223434994,9.524646805733592,6.74279993049153,,,5.2425940363593755,4.906015244966153,5.773805835874765,,,,4.4441366492334735,5.6248301722746765
