,Date,Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Portugal,Spain,Sweden,Switzerland,United Kingdom,United States,Chile,Sri Lanka,Uruguay,Brazil,Greece,Peru,Venezuela,Colombia,Ecuador,India,Mexico
655,1900-01-01,8.763584409450138,8.432506383249043,8.690642169706594,8.442469645220301,8.478244441277663,7.88570539124302,8.430327258394575,8.467582690862903,8.090708716083997,7.660703499103031,8.576593534697684,8.832149906002899,8.0861025356691,7.637716432664798,7.892078421248119,8.107720061910534,8.796607915360044,8.935113740791747,8.991882226982533,8.12740456269308,7.628517626575055,8.127699852817772,6.773080375655535,7.586803535162581,6.988413181999592,7.520776415062797,6.9930151229329605,7.001245622069476,6.86171134048073,7.507690077819904
656,1901-01-01,8.71915396346254,8.426173793029069,8.687442166975924,8.504513138258863,8.506738733512378,7.866338923046544,8.412943170042439,8.428580533059634,8.106816038947052,7.678564567040417,8.609407675404048,8.814479000010714,8.092851027538384,7.612336837167746,7.9672801789422,8.133293861222633,8.763880108829783,8.924789360533357,9.079133498419758,8.13622555490846,7.549609165154532,8.16961956172385,6.84587987526405,7.5443321080536885,7.046647277848756,7.478169694159785,6.9865664594064265,7.02197642307216,6.876264611890766,7.579167967396076
657,1902-01-01,8.715059959545654,8.454040376410969,8.692825760059396,8.577347114235984,8.518592212329946,7.8383433155571165,8.394573477868327,8.436200032206706,8.12296471523406,7.60726570055344,8.635864721133736,8.864181369765426,8.091933455979893,7.609862200913554,7.9157131993821155,8.120291313968561,8.797269583511248,8.940498217652733,9.069263785835465,8.189799618728228,7.5352967024440884,8.297792626380861,6.825460036255307,7.792761720816526,7.095893221097532,7.411556287811163,6.982862751468942,7.04141166379481,6.950814768442584,7.493317248862145
658,1903-01-01,8.77909581088053,8.452761331256848,8.70167907103957,8.57810012631976,8.56483984488359,7.8961806086154915,8.414717399827001,8.475328987317539,8.132118772955806,7.697970926521317,8.620471540869739,8.927314111060596,8.098642843759418,7.615298339825815,7.905810312658931,8.171599480345463,8.775277537975885,8.920255414908091,9.09844163979871,8.125926802707886,7.577121930876679,8.297792626380861,6.824373670043086,7.769378609513984,7.148345743900068,7.478169694159785,6.976348070447749,7.060476365999801,6.9584483932976555,7.589841512182657
659,1904-01-01,8.831419819090131,8.457867725331422,8.714567550836485,8.561784074744113,8.57583938684897,7.922623574217286,8.420241665339788,8.499843553081124,8.149312843635345,7.686617232916932,8.61993026886735,8.893572718629306,8.098034756176071,7.620214770574455,7.886081401775745,8.188411308079031,8.836312145037947,8.916640227198839,9.066892360387383,8.20166019080868,7.5688956634069955,8.297792626380861,6.822197390620491,7.823245690685523,7.1693500166706,7.488852955733459,6.97166860472579,7.080867896690782,6.956545443151569,7.596894438144544
660,1905-01-01,8.82834762005316,8.502079553606189,8.730367211692958,8.644354337032917,8.581669210600602,7.9291264873067995,8.43663368355782,8.506738733512378,8.16961956172385,7.655035953365231,8.65434302956347,8.952993499320474,8.10832229017324,7.583247524303362,7.871692664323645,8.173857454773621,8.879692299595096,8.936298185228436,9.118371125035308,8.151909872940905,7.538494999413465,8.127699852817772,6.829793737512425,7.847762537473608,7.227662498728654,7.4999765409521215,6.967909201801884,7.10085190894405,6.932447891572509,7.685703061234547
661,1906-01-01,8.879611609982035,8.529516941105069,8.739376281635323,8.720950028930258,8.59840444684106,7.958576903813898,8.453401058328458,8.521981708148035,8.20303024171486,7.753184507814365,8.660427359502146,9.014568767457824,8.159374736775426,7.581719640125308,7.928406026180535,8.250620082174692,8.933803546876968,8.9595686535445,9.208349671846847,8.207401833376355,7.5480289699350145,8.248529124800218,6.900730664045173,7.835974581721566,7.291656209174461,7.488852955733459,6.975413927455952,7.1204443723924875,6.953684210870537,7.6638772587034705
662,1907-01-01,8.90354343566472,8.579416534596369,8.74321260347591,8.728587995695898,8.622813673279921,7.980365765111246,8.495765244002618,8.551014739891748,8.22040309993373,7.765662582667384,8.629092283913646,9.049232211581426,8.17103418920548,7.596392304064196,7.947325027016463,8.315077007294104,8.917977956573644,8.96890555068972,9.20538250202494,8.245384468120747,7.583247524303362,8.309676895987726,6.879355804460439,7.84971375760487,7.3395376954076745,7.456454555176209,7.020190708311925,7.13966033596492,6.88653164253051,7.710653323501202
663,1908-01-01,8.920121751872404,8.573951525234847,8.743372131273969,8.647168267837984,8.641532465671846,7.977625098784593,8.487558386286548,8.553910774351401,8.24143968982973,7.765109943165096,8.63550941823428,8.949884285777994,8.192016914536875,7.57198844937744,7.978310969867722,8.28374674710613,8.923685718213521,8.917444732471514,9.10230696214747,8.299037181613066,7.57353126274595,8.379079889286603,6.851184927493743,7.843848638152472,7.3453648404168685,7.4342573821331355,7.05617528410041,7.1693500166706,6.894670039433482,7.697575346802343
664,1909-01-01,8.979668554241181,8.560635749259074,8.753055515138222,8.722091302389098,8.66681936537205,8.00736706798333,8.52674740422105,8.560252680876685,8.249575150000199,7.754996527345481,8.674538762140015,8.936298185228436,8.200288260287554,7.563200592358071,7.999007213243955,8.289037098278483,8.96933306808586,8.93022956502072,9.18994562233834,8.304494897963567,7.516433302915632,8.379079889286603,6.906754778648554,7.8636512654486515,7.349873704738337,7.4342573821331355,7.087573705557973,7.198183577101943,7.017506142941256,7.716015266642587
