Date,AVG_RTN,CSAD_AVG,CSSD_AVG,SHSZ300,up_avg,down_avg,up1_avg,down1_avg,up5_avg,down5_avg,up10_avg,down10_avg,shsz300_up,shsz300_down
2015/4/7,0.019698462,0.01854932,0.024093508,0.020572544,1,0,0,0,0,0,0,0,1,0
2015/4/8,-0.011938967,0.026738456,0.033741922,0.007471775,0,1,0,0,0,0,0,0,1,0
2015/4/9,-0.014040475,0.031109799,0.040329725,-0.007819203,0,1,0,0,0,0,0,0,0,1
2015/4/10,0.028975293,0.020903973,0.027684039,0.017235564,1,0,0,0,0,0,1,0,1,0
2015/4/13,0.022894745,0.025862905,0.033199876,0.016718829,1,0,0,0,0,0,0,0,1,0
2015/4/14,-0.000941082,0.031126161,0.039525454,0.004667296,0,1,0,0,0,0,0,0,1,0
2015/4/15,-0.038605813,0.03119223,0.042469856,-0.011807104,0,1,0,0,0,1,0,1,0,1
2015/4/16,0.018699368,0.022118365,0.030925076,0.03224063,1,0,0,0,0,0,0,0,1,0
2015/4/17,0.003043299,0.018239501,0.026978984,0.017051165,1,0,0,0,0,0,0,0,1,0
2015/4/20,-0.022121284,0.030885089,0.041278471,-0.016166529,0,1,0,0,0,0,0,0,0,1
2015/4/21,0.042877031,0.018115365,0.026310844,0.020470723,1,0,0,0,1,0,1,0,1,0
2015/4/22,0.035181841,0.020069207,0.025312797,0.027155687,1,0,0,0,0,0,1,0,1,0
2015/4/23,0.01636736,0.027423268,0.034454127,-0.000563475,1,0,0,0,0,0,0,0,0,1
2015/4/24,0.002150102,0.030994346,0.040305323,-0.0075039,1,0,0,0,0,0,0,0,0,1
2015/4/27,0.006362139,0.022471367,0.030450823,0.018253331,1,0,0,0,0,0,0,0,1,0
2015/4/28,-0.04215798,0.020800719,0.03310265,-0.011657681,0,1,0,0,0,1,0,1,0,1
2015/4/29,0.031107151,0.021180109,0.028305231,0.00748412,1,0,0,0,0,0,1,0,1,0
2015/4/30,-0.001512217,0.026341617,0.036860324,-0.00495479,0,1,0,0,0,0,0,0,0,1
2015/5/4,0.020196928,0.027058416,0.033748715,0.006294217,1,0,0,0,0,0,0,0,1,0
2015/5/5,-0.030066292,0.024362591,0.035360165,-0.040094254,0,1,0,0,0,0,0,1,0,1
2015/5/6,-0.017428374,0.022942677,0.030871229,-0.008397886,0,1,0,0,0,0,0,0,0,1
2015/5/7,-0.038233907,0.033576878,0.040460418,-0.0194978,0,1,0,0,0,1,0,1,0,1
2015/5/8,0.045811754,0.021724226,0.026360187,0.018726684,1,0,0,0,1,0,1,0,1,0
2015/5/11,0.051758309,0.022736002,0.026992031,0.028251497,1,0,0,0,1,0,1,0,1,0
2015/5/12,0.019293491,0.024908428,0.031353986,0.012699519,1,0,0,0,0,0,0,0,1,0
2015/5/13,0.011141341,0.028919757,0.039041918,-0.005286297,1,0,0,0,0,0,0,0,0,1
2015/5/14,0.024224441,0.038229924,0.045048296,-0.003314062,1,0,0,0,0,0,0,0,0,1
2015/5/15,-0.012738231,0.022322481,0.030638886,-0.018251913,0,1,0,0,0,0,0,0,0,1
2015/5/18,0.019814987,0.026132393,0.035128288,-0.009338596,1,0,0,0,0,0,0,0,0,1
2015/5/19,0.021534775,0.021309047,0.031717028,0.03312725,1,0,0,0,0,0,0,0,1,0
2015/5/20,0.023424615,0.026511409,0.0335901,0.005350644,1,0,0,0,0,0,0,0,1,0
2015/5/21,0.039844681,0.02909791,0.034072177,0.019517389,1,0,0,0,1,0,1,0,1,0
2015/5/22,0.011977119,0.036839261,0.045551902,0.022105145,1,0,0,0,0,0,0,0,1,0
2015/5/25,0.023984201,0.022342715,0.029387615,0.028919694,1,0,0,0,0,0,0,0,1,0
2015/5/26,0.035485162,0.022468957,0.027722248,0.01879311,1,0,0,0,1,0,1,0,1,0
2015/5/27,0.02084619,0.040559075,0.045636811,-0.002159106,1,0,0,0,0,0,0,0,0,1
2015/5/28,-0.06228811,0.038289313,0.050794236,-0.071163546,0,1,0,0,0,1,0,1,0,1
2015/5/29,0.006681215,0.033817514,0.043686813,0.003942577,1,0,0,0,0,0,0,0,1,0
2015/6/1,0.052289411,0.019257108,0.023763968,0.046633386,1,0,0,0,1,0,1,0,1,0
2015/6/2,0.041839244,0.026063105,0.03185242,0.016304521,1,0,0,0,1,0,1,0,1,0
2015/6/3,-0.002110629,0.027698781,0.036293828,-0.00177184,0,1,0,0,0,0,0,0,0,1
2015/6/4,0.003578523,0.042390444,0.050499158,0.00527714,1,0,0,0,0,0,0,0,1,0
2015/6/5,0.026223752,0.028162149,0.034303744,0.009502941,1,0,0,0,0,0,0,0,1,0
2015/6/8,-0.002079541,0.042277292,0.051186816,0.022361938,0,1,0,0,0,0,0,0,1,0
2015/6/9,0.01399118,0.032295568,0.040026292,-0.006076322,1,0,0,0,0,0,0,0,0,1
2015/6/10,0.019988138,0.032075983,0.04274587,-0.001829268,1,0,0,0,0,0,0,0,0,1
2015/6/11,0.019530098,0.032239257,0.042059525,-0.000233341,1,0,0,0,0,0,0,0,0,1
2015/6/12,0.026476605,0.031247821,0.037528292,0.0043136,1,0,0,0,0,0,1,0,1,0
2015/6/15,-0.019650442,0.042612653,0.05429486,-0.021428543,0,1,0,0,0,0,0,0,0,1
2015/6/16,-0.040373897,0.042302523,0.055749565,-0.03025702,0,1,0,0,0,1,0,1,0,1
2015/6/17,0.027449982,0.030748797,0.039278392,0.014265095,1,0,0,0,0,0,1,0,1,0
2015/6/18,-0.039195018,0.033528425,0.042845228,-0.040988569,0,1,0,0,0,1,0,1,0,1
2015/6/19,-0.076366806,0.030508862,0.044382314,-0.061967611,0,1,0,0,0,1,0,1,0,1
2015/6/23,0.006869645,0.032198042,0.041612405,0.031844533,1,0,0,0,0,0,0,0,1,0
2015/6/24,0.021487646,0.02036498,0.030564715,0.019747105,1,0,0,0,0,0,0,0,1,0
2015/6/25,-0.039540715,0.039939966,0.05306426,-0.036577542,0,1,0,0,0,1,0,1,0,1
2015/6/26,-0.08624301,0.029976298,0.047653109,-0.081966842,0,1,0,1,0,1,0,1,0,1
2015/6/29,-0.079278265,0.034487996,0.042547021,-0.034104055,0,1,0,0,0,1,0,1,0,1
2015/6/30,0.042159466,0.037477631,0.049297594,0.0668743,1,0,0,0,1,0,1,0,1,0
2015/7/1,-0.064960547,0.036384537,0.044389366,-0.050477633,0,1,0,0,0,1,0,1,0,1
2015/7/2,-0.087398926,0.023818681,0.031053214,-0.035516614,0,1,0,1,0,1,0,1,0,1
2015/7/3,-0.090501134,0.019005258,0.022896357,-0.055656958,0,1,0,1,0,1,0,1,0,1
2015/7/6,-0.048468445,0.043987499,0.057356976,0.027747911,0,1,0,0,0,1,0,1,1,0
2015/7/7,-0.099488223,0.009932894,0.016239369,-0.018087346,0,1,0,1,0,1,0,1,0,1
2015/7/8,-0.069124366,0.045252328,0.060186588,-0.069081337,0,1,0,0,0,1,0,1,0,1
2015/7/9,0.086387521,0.015241841,0.023391443,0.061640076,1,0,1,0,1,0,1,0,1,0
2015/7/10,0.087697158,0.013170455,0.019710714,0.051283374,1,0,1,0,1,0,1,0,1,0
2015/7/13,0.086149679,0.015392647,0.025680578,0.026129035,1,0,1,0,1,0,1,0,1,0
2015/7/14,0.037239467,0.045782622,0.055769331,-0.023028851,1,0,0,0,1,0,1,0,0,1
2015/7/15,-0.079774793,0.034542607,0.045961065,-0.03705967,0,1,0,0,0,1,0,1,0,1
2015/7/16,0.015537596,0.035323633,0.043099849,0.008118573,1,0,0,0,0,0,0,0,1,0
2015/7/17,0.065887576,0.017435507,0.021481319,0.037771215,1,0,1,0,1,0,1,0,1,0
2015/7/20,0.021775741,0.026897236,0.033824682,0.001662133,1,0,0,0,0,0,0,0,1,0
2015/7/21,0.027920465,0.033714286,0.039357847,0.002084657,1,0,0,0,0,0,1,0,1,0
2015/7/22,0.016920809,0.030160438,0.03744831,-0.002189906,1,0,0,0,0,0,0,0,0,1
2015/7/23,0.044741388,0.022465739,0.027996073,0.021116894,1,0,0,0,1,0,1,0,1,0
2015/7/24,-0.005912595,0.030472399,0.037695163,-0.016802376,0,1,0,0,0,0,0,0,0,1
2015/7/27,-0.091771522,0.020067275,0.034268007,-0.089663361,0,1,0,1,0,1,0,1,0,1
2015/7/28,-0.048133205,0.034404298,0.044533557,-0.001793002,0,1,0,0,0,1,0,1,0,1
2015/7/29,0.062986779,0.018602774,0.027154192,0.031303268,1,0,1,0,1,0,1,0,1,0
2015/7/30,-0.034968643,0.026087178,0.033618844,-0.030363827,0,1,0,0,0,0,0,1,0,1
2015/7/31,-0.017333653,0.024656437,0.033938762,0.000546744,0,1,0,0,0,0,0,0,1,0
2015/8/3,-0.058599244,0.037588165,0.047187931,0.004326632,0,1,0,0,0,1,0,1,1,0
2015/8/4,0.071369367,0.020817289,0.030942502,0.029713045,1,0,1,0,1,0,1,0,1,0
2015/8/5,0.005115605,0.029634292,0.037532288,-0.02142344,1,0,0,0,0,0,0,0,0,1
2015/8/6,0.036379376,0.037568432,0.043232086,-0.008831248,1,0,0,0,1,0,1,0,0,1
2015/8/7,0.039190473,0.021885897,0.02851949,0.019327043,1,0,0,0,1,0,1,0,1,0
2015/8/10,0.053342356,0.018540274,0.024265578,0.044507098,1,0,0,0,1,0,1,0,1,0
2015/8/11,0.011084678,0.024363248,0.032068631,-0.022565405,1,0,0,0,0,0,0,0,0,1
2015/8/12,-0.017408309,0.031299144,0.041552084,-0.022215833,0,1,0,0,0,0,0,0,0,1
2015/8/13,0.032079871,0.018905625,0.024392703,0.012476531,1,0,0,0,0,0,1,0,1,0
2015/8/14,-0.000250206,0.021517121,0.028777973,0.000403464,0,1,0,0,0,0,0,0,1,0
2015/8/17,0.020613153,0.028329949,0.037531838,0.000718904,1,0,0,0,0,0,0,0,1,0
2015/8/18,-0.09405166,0.016765682,0.022131636,-0.063752735,0,1,0,1,0,1,0,1,0,1
2015/8/19,0.025061609,0.023735203,0.031371103,0.015108143,1,0,0,0,0,0,0,0,1,0
